"","n","AntiSingleton","Blob","ClassDataShouldBePrivate","ComplexClass","LargeClass","LazyClass","LongMethod","LongParameterList","MessageChains","RefusedParentBequest","SpaghettiCode","SpeculativeGenerality","SwissArmyKnife"
"AntiSingleton","3","","0.930714464325285","0.553710256223478","0.883502043102379","","0.105306937661733","","0.880540070905369","0.0482167375214858","0.841069107059603","","0.558955774640544",""
"Blob","7","0.844959437944602","","0.506644907450272","0.0191992044059826","","0.0373624711414481","","0.0212288996717719","0.350841495764572","0.844943648866605","","0.365999497241804",""
"ClassDataShouldBePrivate","20","0.0120645062495069","0.083152297869945","","0.0884935041764394","","0.0186512003792742","","0.0230274241167314","0.00286300976578359","0.00913181441502507","","0.117188291853323",""
"ComplexClass","11","0.832732494625046","0.00572531989154191","0.12685928033515","","","0.0123508874855993","","0.433757598909864","0.0829708925935587","0.179794855686416","","0.253171424708061",""
"LargeClass","0","","","","","","","","","","","","",""
"LazyClass","9","0.64163593005248","0.953506202136833","0.573743393520406","0.78671861714012","","","","0.681445120642961","0.465667622029515","0.162672268107116","","0.303254999004737",""
"LongMethod","0","","","","","","","","","","","","",""
"LongParameterList","18","0.498471568003692","0.0102240546096952","0.0384974238583947","0.390405614481063","","0.118555832635728","","","0.964267042190453","0.704334140231354","","0.478787000145067",""
"MessageChains","4","0.0580794720408198","0.267563509962381","4.82140439727673e-05","0.367933748664339","","0.581911659196954","","0.606835743600683","","0.196814555093691","","0.497970266598179",""
"RefusedParentBequest","19","0.543341418713267","0.400253984801561","0.285356482057685","0.621673954747055","","0.772669154885226","","0.974242106006857","0.279286906470701","","","0.95994525955594",""
"SpaghettiCode","0","","","","","","","","","","","","",""
"SpeculativeGenerality","3","0.455071657264835","0.336676428106412","0.408674836007921","0.27894030329741","","0.635341186691255","","0.812430658375599","0.680667265885831","0.386340482121824","","",""
"SwissArmyKnife","0","","","","","","","","","","","","",""
