"","Sum","Mean","SD","Var","Min","25%","Median","75%","Max","Skewness","Kurtosis","shapiro.p","ks.p"
"AntiSingleton",3,0.00974025974025974,0.0983707541874674,0.00967680527941114,0,0,0,0,1,9.98381203410002,100.67650273224,4.67589707252771e-36,4.9745802055412e-06
"Blob",10,0.0324675324675325,0.239946551291382,0.0575743474766276,0,0,0,0,3,9.03770503261828,95.547741995043,2.18125203453951e-35,1.83963955180388e-13
"ClassDataShouldBePrivate",20,0.0649350649350649,0.246812241217193,0.0609162824146538,0,0,0,0,1,3.53121005385469,13.4694444444444,3.89680120882129e-33,1.99840144432528e-14
"ComplexClass",11,0.0357142857142857,0.185878868976711,0.0345509539320614,0,0,0,0,1,5.00370233297676,26.037037037037,1.72454333802794e-34,1.49278767791472e-07
"LargeClass",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"LazyClass",9,0.0292207792207792,0.168698920241346,0.028459325690596,0,0,0,0,1,5.59037767567365,32.2523225566704,7.78736217225786e-35,8.83363353578748e-05
"LongMethod",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"LongParameterList",18,0.0584415584415584,0.234958253607487,0.05520538093828,0,0,0,0,1,3.76472842003621,15.1731800766284,2.05070576674941e-33,5.68989300120393e-13
"MessageChains",4,0.012987012987013,0.113402398851681,0.0128601040653158,0,0,0,0,1,8.60309002014607,75.0131578947368,7.98200319253184e-36,2.41985610189843e-05
"RefusedParentBequest",24,0.0779220779220779,0.33342497717889,0.111172215406743,0,0,0,0,3,5.09414022016279,32.9737912053544,2.00550386998658e-33,0
"SpaghettiCode",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"SpeculativeGenerality",3,0.00974025974025974,0.0983707541874674,0.00967680527941114,0,0,0,0,1,9.98381203410002,100.67650273224,4.67589707252771e-36,2.45469783849428e-05
"SwissArmyKnife",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"NumOfAPs",102,0.331168831168831,0.73138300838458,0.534921104953678,0,0,0,0,5,2.84922020647177,12.6729725082284,2.93398470925048e-28,0
