"","Sum","Mean","SD","Var","Min","25%","Median","75%","Max","Skewness","Kurtosis","shapiro.p","ks.p"
"AntiSingleton",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"Blob",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"ClassDataShouldBePrivate",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"ComplexClass",142,0.0993006993006993,0.299169951184278,0.089502659691603,0,0,0,0,1,2.67967740267672,8.18067098241624,1.10670194643681e-57,0
"LargeClass",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"LazyClass",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"LongMethod",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"LongParameterList",187,0.130769230769231,0.337265745721881,0.113748183237336,0,0,0,0,1,2.19031990846212,5.79750130140552,3.87154678507484e-56,0
"MessageChains",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"RefusedParentBequest",6,0.0041958041958042,0.0835480911650076,0.00698028353731643,0,0,0,0,2,21.4555684166548,484.330603987495,9.95314742359071e-65,0
"SpaghettiCode",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"SpeculativeGenerality",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"SwissArmyKnife",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"NumOfAPs",335,0.234265734265734,0.534676464451348,0.285878921638194,0,0,0,0,2,2.2235277449139,6.89959276037594,1.69357694865632e-53,0
