"","n","AntiSingleton","Blob","ClassDataShouldBePrivate","ComplexClass","LargeClass","LazyClass","LongMethod","LongParameterList","MessageChains","RefusedParentBequest","SpaghettiCode","SpeculativeGenerality","SwissArmyKnife"
"AntiSingleton_0","1430","","","","","","","","","","","","",""
"Blob_0","1430","","","","","","","","","","","","",""
"ClassDataShouldBePrivate_0","1430","","","","","","","","","","","","",""
"ComplexClass_0","1288","","","","","","","","0.31584009083153","","0.00208333333333333","","",""
"LargeClass_0","1430","","","","","","","","","","","","",""
"LazyClass_0","1430","","","","","","","","","","","","",""
"LongMethod_0","1430","","","","","","","","","","","","",""
"LongParameterList_0","1243","","","","0.319404166306258","","","","","","0.00215875569857871","","",""
"MessageChains_0","1430","","","","","","","","","","","","",""
"RefusedParentBequest_0","1426","","","","0.312776923014757","","","","0.308306205549821","","","","",""
"SpaghettiCode_0","1430","","","","","","","","","","","","",""
"SpeculativeGenerality_0","1430","","","","","","","","","","","","",""
"SwissArmyKnife_0","1430","","","","","","","","","","","","",""
"AntiSingleton_1","0","","","","","","","","","","","","",""
"Blob_1","0","","","","","","","","","","","","",""
"ClassDataShouldBePrivate_1","0","","","","","","","","","","","","",""
"ComplexClass_1","142","","","","","","","","0.2353939820871","","0.000287438919229664","","",""
"LargeClass_1","0","","","","","","","","","","","","",""
"LazyClass_1","0","","","","","","","","","","","","",""
"LongMethod_1","0","","","","","","","","","","","","",""
"LongParameterList_1","187","","","","0.265154261142764","","","","","","0.000218269125832151","","",""
"MessageChains_1","0","","","","","","","","","","","","",""
"RefusedParentBequest_1","4","","","","0.145833333333333","","","","0.145833333333333","","","","",""
"SpaghettiCode_1","0","","","","","","","","","","","","",""
"SpeculativeGenerality_1","0","","","","","","","","","","","","",""
"SwissArmyKnife_1","0","","","","","","","","","","","","",""
