"","Sum","Mean","SD","Var","Min","25%","Median","75%","Max","Skewness","Kurtosis","shapiro.p","ks.p"
"AntiSingleton",8,0.0121212121212121,0.109510085060417,0.0119924587299398,0,0,0,0,1,8.91696528750955,80.5122699386503,2.59286081744949e-48,4.60297674420573e-07
"Blob",17,0.0257575757575758,0.215352064542608,0.0463765117027636,0,0,0,0,3,10.4349985286036,127.052863838876,4.66310220657204e-48,0
"ClassDataShouldBePrivate",31,0.046969696969697,0.211734435100895,0.0448314710074953,0,0,0,0,1,4.28247675525992,19.3396071593415,6.04754559634935e-46,0
"ComplexClass",44,0.0666666666666667,0.249633013393305,0.062316641375822,0,0,0,0,1,3.47439614486152,13.0714285714286,6.94213424522128e-45,0
"LargeClass",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"LazyClass",16,0.0242424242424242,0.153917588319575,0.0236906239941141,0,0,0,0,1,6.18666668897694,39.2748447204969,2.22833711810973e-47,1.74176697798067e-06
"LongMethod",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"LongParameterList",64,0.096969696969697,0.296140934012992,0.0876994527980871,0,0,0,0,1,2.72394613572581,8.41988255033557,1.86234784186998e-43,0
"MessageChains",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"RefusedParentBequest",20,0.0303030303030303,0.279262901989915,0.0779877684278291,0,0,0,0,6,16.1286306696707,323.755729352083,2.58870249045385e-48,0
"SpaghettiCode",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"SpeculativeGenerality",3,0.00454545454545455,0.0673176020016072,0.00453165953924679,0,0,0,0,1,14.7310748491088,218.004566210046,4.94080779631249e-49,0
"SwissArmyKnife",7,0.0106060606060606,0.102515830790207,0.0105094955626063,0,0,0,0,1,9.55491674692623,92.2964340406913,1.91382449301612e-48,1.74531111796217e-06
"NumOfAPs",210,0.318181818181818,0.689375053114837,0.475237963857084,0,0,0,0,6,2.96562957410699,15.2123579955384,6.75388303583451e-39,0
