"","n","AntiSingleton","Blob","ClassDataShouldBePrivate","ComplexClass","LargeClass","LazyClass","LongMethod","LongParameterList","MessageChains","RefusedParentBequest","SpaghettiCode","SpeculativeGenerality","SwissArmyKnife"
"AntiSingleton","8","","0.0617331288343558","-0.109470858895706","-0.11023773006135","","0.0469708588957055","","-0.0272239263803681","","-0.151073619631902","","0.0026840490797546","0.0630751533742331"
"Blob","12","0.103009259259259","","-0.187757201646091","0.0186471193415638","","-0.109825102880658","","-0.463991769547325","","-0.453703703703704","","0.00308641975308642","-0.516203703703704"
"ClassDataShouldBePrivate","31","0.0572337042925278","-0.0786194163803272","","0.0900559003025796","","0.0218985589004564","","-0.0406687522437048","","0.0548233242730396","","0.00317965023847377","-0.0606697779373301"
"ComplexClass","44","-0.0308072609208973","-0.143521251475797","-0.143004722550177","","","-0.0623893152302243","","-0.108212809917355","","-0.110537190082645","","0.00324675324675325","-0.0871827036599764"
"LargeClass","0","","","","","","","","","","","","",""
"LazyClass","16","0.165954968944099","0.0540566770186335","0.242041925465838","0.256696428571429","","","","0.37694099378882","","0.0477484472049689","","0.00291149068322981","0.0046583850931677"
"LongMethod","0","","","","","","","","","","","","",""
"LongParameterList","64","0.044227139261745","-0.270842072147651","-0.210124790268456","-0.238726929530201","","-0.00943791946308725","","","","-0.149197776845638","","0.00330327181208054","-0.0774695889261745"
"MessageChains","0","","","","","","","","","","","","",""
"RefusedParentBequest","14","-0.546992481203008","-0.193719593100398","0.15015479876161","-0.440955329500221","","-0.0208978328173375","","0.163644405130473","","","","0.00309597523219814","-0.072202565236621"
"SpaghettiCode","0","","","","","","","","","","","","",""
"SpeculativeGenerality","3","0.17351598173516","0.19634703196347","0.319634703196347","0.665144596651446","","0.0532724505327245","","0.555555555555556","","0.115677321156773","","","0.0715372907153729"
"SwissArmyKnife","7","0.17457886676876","-0.883832859330562","0.0476919711222927","-0.0343469700284402","","-0.0949464012251148","","-0.365127980748195","","-0.198862393349376","","0.00306278713629403",""
