"","n","AntiSingleton","Blob","ClassDataShouldBePrivate","ComplexClass","LargeClass","LazyClass","LongMethod","LongParameterList","MessageChains","RefusedParentBequest","SpaghettiCode","SpeculativeGenerality","SwissArmyKnife"
"AntiSingleton","8","","0.595474944251377","0.599676254836015","0.600535811769376","","0.502744089748226","","0.90271253404917","","0.192123484450519","","0.883153553102077","0.432704452681075"
"Blob","12","0.353438952597389","","0.177407204699065","0.910598795226379","","0.0933214972345886","","0.00386661169276491","","1.1643846626617e-06","","0.853565364568795","6.13817762950832e-12"
"ClassDataShouldBePrivate","31","0.414084902737298","0.285651254014003","","0.387491770245278","","0.596634099224979","","0.688739028498481","","0.352554721715103","","0.757224385949181","0.200885456596874"
"ComplexClass","44","0.604352239223341","0.021510027257476","0.0550154164815875","","","0.0749385228861445","","0.208472775321775","","0.0270204607901585","","0.708439412548492","0.0301684324025386"
"LargeClass","0","","","","","","","","","","","","",""
"LazyClass","16","0.0662208929115271","0.593994961906714","0.0452749807483512","0.0732974768998932","","","","0.00690074328700753","","0.549363712175918","","0.828902715552347","0.944223502599351"
"LongMethod","0","","","","","","","","","","","","",""
"LongParameterList","64","0.375550113387247","2.67649785197565e-07","0.000827689645662357","0.00134821846854401","","0.756557909971446","","","","0.000411658672155994","","0.64540441991703","0.0224695910145331"
"MessageChains","0","","","","","","","","","","","","",""
"RefusedParentBequest","14","1.0397702340298e-07","0.0731536811363977","0.24473797413708","0.00394305581893772","","0.731635029359551","","0.272048179461736","","","","0.840770324205388","0.30022664190838"
"SpaghettiCode","0","","","","","","","","","","","","",""
"SpeculativeGenerality","3","0.432083425633251","0.397471862123932","0.248101603208988","0.0424693894635636","","0.684454684144944","","0.0818021881008918","","0.534276675658338","","","0.633724270836161"
"SwissArmyKnife","7","0.227910428443842","6.10266427435684e-09","0.793592326755965","0.873941855136227","","0.266542778147896","","0.0814394528880386","","0.102590592040625","","0.891768514494014",""
