"","n","AntiSingleton","Blob","ClassDataShouldBePrivate","ComplexClass","LargeClass","LazyClass","LongMethod","LongParameterList","MessageChains","RefusedParentBequest","SpaghettiCode","SpeculativeGenerality","SwissArmyKnife"
"AntiSingleton","1","","0.000499263768479248","0.890145382016375","0.793312707419609","","0.890145382016375","","0.264808979279612","","0.620258551981296","","0.933690060491327",""
"Blob","6","5.5089357252818e-09","","0.702817499023554","0.006351570680319","","0.702817499023554","","0.32936554686707","","0.799300750881918","","0.792993411458202",""
"ClassDataShouldBePrivate","4","0.792999468508513","0.544154678133092","","0.586178395566487","","0.758656125259133","","0.0205257918811374","","0.0356598721765643","","0.834475139409292",""
"ComplexClass","8","0.702804452965876","0.103308853351844","0.656853090258142","","","0.656853090258142","","0.450559378468361","","0.409673536857351","","0.758638344699278",""
"LargeClass","0","","","","","","","","","","","","",""
"LazyClass","9","0.684543023183521","0.356798349100118","0.63637073000559","0.407697544744957","","","","0.0725384725722902","","0.0721785632706308","","0.743223819406021",""
"LongMethod","0","","","","","","","","","","","","",""
"LongParameterList","24","0.491723151090995","0.0314915491591976","0.0541678891881497","0.289675182385989","","0.0511103379497832","","","","0.239481257364553","","0.577029513489975",""
"MessageChains","0","","","","","","","","","","","","",""
"RefusedParentBequest","76","0.697546696967895","0.756757618923678","0.0661415064706485","0.8507086600034","","0.316108405858368","","0.19917712695411","","","","0.203572908329184",""
"SpaghettiCode","0","","","","","","","","","","","","",""
"SpeculativeGenerality","2","0.859550825238868","0.671766705055942","0.833977113051685","0.704286647973473","","0.833977113051685","","0.113369545534586","","0.140140030078618","","",""
"SwissArmyKnife","0","","","","","","","","","","","","",""
