"","n","AntiSingleton","Blob","ClassDataShouldBePrivate","ComplexClass","LargeClass","LazyClass","LongMethod","LongParameterList","MessageChains","RefusedParentBequest","SpaghettiCode","SpeculativeGenerality","SwissArmyKnife"
"AntiSingleton_0","328","","0.0150547264704411","0.00179556698010994","0.0113701421251637","","0.00501256027170661","","0.180577387991373","","0.298031719270059","","0.00204461866047232",""
"Blob_0","323","0.00118176906933738","","0.00182336213460081","0.00948216702906196","","0.00509015408396213","","0.177851547764201","","0.297124057545653","","0.00207626910413288",""
"ClassDataShouldBePrivate_0","325","0.00245654792634658","0.0162193342019631","","0.0114750972832421","","0.00505883005883006","","0.177628871572831","","0.294628935140244","","0.00206349206349206",""
"ComplexClass_0","321","0.00248715911545994","0.0158503124059336","0.00183472264634287","","","0.00512186843962545","","0.178907736016107","","0.295911954062033","","0.0020892053602334",""
"LargeClass_0","329","","","","","","","","","","","","",""
"LazyClass_0","320","0.00249493148769575","0.0164727612988688","0.00184045615461269","0.0116543956782928","","","","0.17623765602449","","0.292461678918477","","0.00209573412698413",""
"LongMethod_0","329","","","","","","","","","","","","",""
"LongParameterList_0","305","0.00261763303627095","0.0153480167316124","0.00177004710671781","0.011456389666588","","0.00385529770775672","","","","0.303033772719939","","0.00219880301847515",""
"MessageChains_0","329","","","","","","","","","","","","",""
"RefusedParentBequest_0","253","0.00312911725955204","0.0188108898817657","0.000444242253908374","0.0128436981067008","","0.0032389108476065","","0.17617731847697","","","","0.0015527950310559",""
"SpaghettiCode_0","329","","","","","","","","","","","","",""
"SpeculativeGenerality_0","327","0.00244152316838728","0.016120133381156","0.00180105801063016","0.011404913201999","","0.00502788920220113","","0.181129612419481","","0.295375343284136","","",""
"SwissArmyKnife_0","329","","","","","","","","","","","","",""
"AntiSingleton_1","1","","0.333333333333333","0","0","","0","","0","","0.166666666666667","","0",""
"Blob_1","6","0.0694444444444444","","0","0.111111111111111","","0","","0.297222222222222","","0.325","","0",""
"ClassDataShouldBePrivate_1","4","0","0","","0","","0","","0.375","","0.541666666666667","","0",""
"ComplexClass_1","8","0","0.0229166666666667","0","","","0","","0.225","","0.366666666666667","","0",""
"LargeClass_1","0","","","","","","","","","","","","",""
"LazyClass_1","9","0","0","0","0","","","","0.314814814814815","","0.481481481481481","","0",""
"LongMethod_1","0","","","","","","","","","","","","",""
"LongParameterList_1","24","0","0.0245891046873432","0.00204506674696377","0.00980032369768142","","0.019510582010582","","","","0.228990412819357","","0",""
"MessageChains_1","0","","","","","","","","","","","","",""
"RefusedParentBequest_1","76","8.83080183680678e-05","0.00673853257304335","0.00627042998996372","0.00631514468497867","","0.010850991114149","","0.19284896955917","","","","0.00365497076023392",""
"SpaghettiCode_1","0","","","","","","","","","","","","",""
"SpeculativeGenerality_1","2","0","0","0","0","","0","","0","","0.666666666666667","","",""
"SwissArmyKnife_1","0","","","","","","","","","","","","",""
