"","n","AntiSingleton","Blob","ClassDataShouldBePrivate","ComplexClass","LargeClass","LazyClass","LongMethod","LongParameterList","MessageChains","RefusedParentBequest","SpaghettiCode","SpeculativeGenerality","SwissArmyKnife"
"AntiSingleton","1","","-0.978658536585366","0.024390243902439","0.0701219512195122","","0.024390243902439","","0.63109756097561","","0.286585365853659","","0.0121951219512195",""
"Blob","6","-0.32249742002064","","0.0247678018575851","-0.287925696594427","","0.0247678018575851","","-0.226522187822497","","-0.0603715170278638","","0.0123839009287926",""
"ClassDataShouldBePrivate","4","0.0138461538461538","0.0646153846153846","","0.0530769230769231","","0.0184615384615385","","-0.660769230769231","","-0.63","","0.00923076923076923",""
"ComplexClass","8","0.0163551401869159","-0.169781931464174","0.0218068535825545","","","0.0218068535825545","","-0.154205607476636","","-0.169003115264797","","0.0109034267912773",""
"LargeClass","0","","","","","","","","","","","","",""
"LazyClass","9","0.01875","0.0875","0.025","0.071875","","","","-0.341666666666667","","-0.347569444444444","","0.0125",""
"LongMethod","0","","","","","","","","","","","","",""
"LongParameterList","24","0.019672131147541","-0.127732240437158","-0.0631147540983606","-0.0575136612021858","","-0.0639344262295082","","","","0.142622950819672","","0.0131147540983607",""
"MessageChains","0","","","","","","","","","","","","",""
"RefusedParentBequest","76","0.0068649885583524","0.0113896401081756","-0.0371333472019971","0.00634491366756813","","-0.0202829207405866","","-0.0944976076555024","","","","-0.0183066361556064",""
"SpaghettiCode","0","","","","","","","","","","","","",""
"SpeculativeGenerality","2","0.00917431192660551","0.0428134556574924","0.0122324159021407","0.0351681957186544","","0.0122324159021407","","0.31651376146789","","-0.599388379204893","","",""
"SwissArmyKnife","0","","","","","","","","","","","","",""
