"","Sum","Mean","SD","Var","Min","25%","Median","75%","Max","Skewness","Kurtosis","shapiro.p","ks.p"
"AntiSingleton",1,0.00303951367781155,0.0551317846419971,0.00303951367781155,0,0,0,0,1,18.0555545132374,327.003048780488,1.31556386959304e-37,1.88737914186277e-15
"Blob",6,0.0182370820668693,0.13401148371341,0.0179590777670695,0,0,0,0,1,7.20082697922444,52.8519091847265,1.91259526675204e-36,0.00130575578537451
"ClassDataShouldBePrivate",4,0.0121580547112462,0.109758156832767,0.0120468529913263,0,0,0,0,1,8.90293814941493,80.2623076923077,7.42922884050568e-37,0.00114528016825677
"ComplexClass",8,0.0243161094224924,0.154263307571392,0.023797168062866,0,0,0,0,1,6.17656232206719,39.1499221183801,4.52045529468149e-36,0.0014964766822495
"LargeClass",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"LazyClass",9,0.027355623100304,0.163365886221036,0.0266884127807843,0,0,0,0,1,5.79514284168695,34.5836805555555,6.78381280649578e-36,0.000190530098779007
"LongMethod",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"LongParameterList",24,0.0729483282674772,0.260447785844227,0.0678330491511602,0,0,0,0,1,3.2843601900406,11.7870218579235,1.00633184581793e-33,1.11022302462516e-16
"MessageChains",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"RefusedParentBequest",138,0.419452887537994,1.41864275303227,2.01254726073097,0,0,0,0,18,7.67136066921728,80.7171744600577,1.56571103349266e-33,0
"SpaghettiCode",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"SpeculativeGenerality",2,0.0060790273556231,0.0778491729926301,0.00606049373563644,0,0,0,0,1,12.7085056638438,162.506116207951,2.52031941942112e-37,8.35997937542743e-11
"SwissArmyKnife",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"NumOfAPs",192,0.583586626139818,1.51007931444615,2.28033953591816,0,0,0,1,18,6.41023192204278,61.69973225986,1.40576376485055e-31,0
